30.4,19900000,24,9
30.5,19660000,19,11
30.6,19430000,15,9
30.7,19170000,17,4
30.8,18930000,22,9
30.9,18690000,22,6
31,18450000,13,6
31.1,18200000,11,3
31.2,17980000,6,5
31.3,17770000,13,4
31.4,17560000,4,5
31.5,17350000,7,7
31.6,17140000,6,4
31.7,16930000,4,1
31.8,16720000,9,5
31.9,16490000,6,3
32,16260000,6,4
32.1,16030000,5,6
32.2,15800000,4,4
32.3,15580000,1,4
32.4,15350000,1,3
32.5,15120000,2,2
32.6,14900000,2,1
32.7,14670000,5,2
32.8,14460000,1,0
32.9,14230000,3,3
33,14010000,1,3
33.1,13790000,3,1
33.2,13560000,0,0
33.3,13340000,4,3
33.4,13130000,2,0
33.5,12920000,0,2
33.6,12700000,0,0
33.7,12480000,0,3
33.8,12270000,0,0
33.9,12060000,3,0
34,11840000,0,0
34.1,11640000,2,1
34.2,11430000,0,2
34.3,11210000,1,0
34.4,11010000,0,2
34.5,10800000,1,0
34.6,10580000,0,0
34.7,10380000,1,0
34.8,10150000,0,0
34.9,9890000,0,1
35,9630000,0,0
35.1,9390000,1,0
35.2,9150000,0,0
35.3,8950000,0,0
35.4,8750000,0,1
35.5,8550000,0,0
35.6,8340000,0,1
35.7,8150000,0,0
35.8,7950000,0,0
35.9,7740000,0,1
36,7530000,1,0
36.1,7340000,0,0
36.2,7136000,0,0
36.3,6944000,0,0
36.4,6743000,0,0
36.5,6549000,0,0
36.6,6357000,0,0
36.7,6159000,0,0
36.8,5960000,1,0
36.9,5765000,0,0
37,5566000,0,0
37.1,5374000,1,0
37.2,5177000,0,0
37.3,4986000,0,0
37.4,4785000,0,0
37.5,4587000,0,0
37.6,4395000,0,0
37.7,4200000,0,0
37.8,4010000,0,0
37.9,3820000,0,0
38,3626000,0,0
38.1,3437000,0,0
38.2,3246000,0,0
38.3,3059000,0,0
38.4,2879000,0,0
38.5,2694000,0,0
38.6,2512000,0,0
38.7,2343000,0,0
38.8,2193000,0,0
38.9,2040000,0,0
39,1892000,0,0
39.1,1737000,0,0
39.2,1588000,0,0
39.3,1422000,0,0
39.4,1242000,0,0
39.5,1065000,0,0
39.6,886000,0,0
39.7,708500,0,0
39.8,0,0,0
39.9,0,0,0
40,0,0,0
